Имя файла	Название произведения	Дата создания оригинала	Имя и фамилия автора	Год рождения автора	Перевод названия	Имя и фамилия переводчика	Дата перевода	Сфера текста	Язык оригинала	Язык перевода
Oratio de meteoris	Oratio de meteoris vi electrica ortis, auctore Michaele Lomonosow habita	1753	Michael Lomonosow	1711	Слово о явлениях воздушных, от электрической силы происходящих, предложенное от Михайла Ломоносова	М. В. Ломоносов	1952	учебно-научная	lat	rus
Orationis de met	Orationis de meteoris electrics explanationes	1753	Michael Lomonosow	1711	Изъяснения, надлежащие к Слову о электрических воздушных явлениях	М. В. Ломоносов	1952	учебно-научная	lat	rus
Programma	Programma	1753	Michael Lomonosow	1711	Программа	М. В. Ломоносов	1952	учебно-научная	lat	rus
Met disc	Материалы обсуждения «Слова о явлениях воздушных, от электрической силы происходящих»	1753-1755	Michael Lomonosow	1711		Я. М. Боровский	1952	учебно-научная	lat	rus
Tabl phaen	Таблица с записью грозовых явлений за 1744—1748 гг.	1753-1755	Michael Lomonosow	1711		Я. М. Боровский	1952	учебно-научная	lat	rus
Contra caudam	Contra caudam vaporosam cometraum	1753-1755	Michael Lomonosow	1711	Против мнения, что хвосты комет состоят из паров	Я. М. Боровский	1952	учебно-научная	lat	rus
Praemia 2	Задачи [на премию Петербургской Академии Наук на 1756 г.]	1756	Michael Lomonosow	1711		Я. М. Боровский	1952	учебно-научная	lat	rus
Nota de luce	127 заметок к теории света и электричества	1756	Michael Lomonosow	1711		Я. М. Боровский	1952	учебно-научная	lat	rus
Theor electr	Theoria electricitatis methodo mathematica concinnata, auctore M. Lomonosow	1756	Michael Lomonosow	1711	Теория электричества, изложенная математически М. Ломоносовым	Я. М. Боровский	1952	учебно-научная	lat	rus
De lucis natura	О природе света	1756	Michael Lomonosow	1711		Я. М. Боровский	1952	учебно-научная	lat	rus
Da rat quant	De ratione quantitatis materiae et ponderis	1758	Michael Lomonosow	1711	Об отношении количества материи и веса	Я. М. Боровский	1952	учебно-научная	lat	rus
Praemia 3	Задачи на премию Петербургской Академии Наук на 1760 г.	1760	Michael Lomonosow	1711		Я. М. Боровский	1952	учебно-научная	lat	rus
Med de sol	Meditationes de solido et fluido	1760	Michael Lomonosow	1711	Рассуждение о твердости и жидкости тел	М. В. Ломоносов	1952	учебно-научная	lat	rus
Dess de sol	Dissertatio de liquido et solido	1760	Michael Lomonosow	1711	Рассуждение о жидкости и твердости. Предварительные заметки	Я. М. Боровский	1952	учебно-научная	lat	rus
Nota de merc	Записка об опытах по замораживанию ртути	1760-1761	Michael Lomonosow	1711		Я. М. Боровский	1952	учебно-научная	lat	rus
Nova meth	Nova methodus observandi refractiones radiorum in omni genere pellucidorum corporum	1760-1761	Michael Lomonosow	1711	Новый способ наблюдения преломления лучей во всякого рода прозрачных телах	Я. М. Боровский	1952	производственно-техническая	lat	rus
Med de evap	Meditatio brevis de evaporatione mercurii die 7 maji 1761	1761	Michael Lomonosow	1711	Краткое размышление об испарении ртути 7 мая 1761 г.	Я. М. Боровский	1952	учебно-научная	lat	rus
De observat	Сообщение о наблюдениях, подтверждающих электрическую природу северного сияния	1761-1765	Michael Lomonosow	1711		Я. М. Боровский	1952	учебно-научная	lat	rus
Praemia 4	Задача на премию [Петербургской Академии Наук на 1765 г.]	1765	Michael Lomonosow	1711		Я. М. Боровский	1952	учебно-научная	lat	rus
Nota de syst	Заметки к «Системе всей физики» и «Микрологии»	1753-1761	Michael Lomonosow	1711		Я. М. Боровский	1952	учебно-научная	lat	rus
Probl phys	Problema physicum de tubo nyctoptico	1753-1763	Michael Lomonosow	1711	Физическая задача о ночезрительной трубе	С. И. Вавилов	1955	учебно-научная	lat	rus
Med de navis	Meditationes de via navis in mari certius determinanda praelectae in publico conventu Academiae Scientiarum imperialis Petro-politanae die VIII mai, A. C. 1759 Auctore Michaele Lomonosow Consilario Academico	1759	Michael Lomonosow	1711	Размышления о точном определении пути корабля в море, читанные в публичном собрании Петербургской императорской Академии Наук 8 мая 1759 г. советником Академии Михаилом Ломоносовым	Я. М. Боровский	1955	учебно-научная	lat	rus
Praemio probl	Problema pro tribuendo praemio proponendum	1753-1765	Michael Lomonosow	1711	Задача, которую следует предложить на соискание премии	Ф. Соколов	1955	производственно-техническая	lat	rus
Repres	Representatio semitae Veneris anno 1761, 26 Maii per discum solis transiturae, quemadmodum ilia apparebit observatoribus in variis terrarum orbis regionibus	1761	Michael Lomonosow	1711	Показание пути Венерина по солнечной плоскости, каким образом покажется наблюдателям и смотрителям в разных частях света 26 мая 1761 года	Я. М. Боровский	1955	производственно-техническая	lat	rus
Methodus nova	Methodus nova, facillima et certissima, inveniendi et describendi lineam meridionalem, auctore M. Lomonosow	1753-1765	Michael Lomonosow	1711	Новый, весьма легкий и точный способ находить и наносить полуденную линию, предложенный М. Ломоносовым	Б. Н. Меншуткин	1955	производственно-техническая	lat	rus
Calc telesc	Отрывок с расчетом однозеркального телескопа	1753-1765	Michael Lomonosow	1711		Я. М. Боровский	1955	производственно-техническая	lat	Rus
Prodromus   Prodromus ad veram chymiam physicam 1752    Michael Lomonosow   1711    Б. Н Меншуткин  1951    учебно-научная  lat rus								
De modernis Об усовершенствовании зрительных труб	1753-1765	Michael Lomonosow	1711		Я. М. Боровский	1955	производственно-техническая	lat	Rus
